,sex,row_number,liters_drunk,drink,check_number,label,age_children,age_adults,age_elderly,morning,day,evening
0,0.0,79.0,2.0,0,3116,0,,,66.0,False,False,True
1,1.0,23.0,0.0,0,8118,0,10.0,,,False,True,False
2,1.0,92.0,0.0,0,2264,1,,18.0,,False,False,True
3,0.0,52.0,5.0,1,7640,1,,,67.0,False,False,True
4,0.0,57.0,2.0,1,8764,0,,27.0,,False,True,False
5,1.0,15.0,1.0,1,6235,0,,44.0,,True,False,False
6,0.0,49.0,0.0,0,185,1,11.0,,,True,False,False
7,1.0,33.0,5.0,0,2970,1,,,64.0,False,True,False
8,0.0,5.0,0.0,0,6494,0,,39.0,,False,True,False
9,1.0,48.0,1.0,0,9971,1,,,64.0,False,True,False
10,0.0,78.0,2.484941745438558,0,3592,0,,,51.0,False,False,True
11,1.0,32.0,2.0,1,2021,0,,35.0,,True,False,False
12,0.0,12.0,3.0,0,5675,1,,,59.0,False,True,False
13,0.0,16.0,5.0,1,1637,0,,,77.0,False,True,False
14,0.0,46.0,2.484941745438558,1,7830,1,,37.0,,False,True,False
15,0.0,4.0,3.0,0,2174,1,,18.0,,False,False,True
16,,1.0,4.0,1,8641,1,,,70.0,False,True,False
17,,18.0,4.0,0,9424,0,16.0,,,False,False,True
18,,83.0,2.0,0,3405,1,,25.0,,True,False,False
19,1.0,100.0,2.484941745438558,0,2468,0,15.0,,,False,False,True
20,0.0,40.0,3.0,0,8793,0,,,55.0,True,False,False
21,,67.0,1.0,1,6158,0,,44.0,,False,False,True
22,1.0,9.0,4.0,1,6079,1,,47.0,,False,False,True
23,1.0,8.0,4.0,0,839,1,,,51.0,True,False,False
24,0.0,95.0,1.0,1,1634,1,,,71.0,False,False,True
25,,65.0,2.0,0,4953,1,,33.0,,False,False,True
26,1.0,70.0,2.484941745438558,0,7091,0,,31.0,,True,False,False
27,,19.0,4.0,1,1405,1,,30.0,,False,True,False
28,1.0,52.0,3.0,0,6992,1,,38.0,,False,False,True
29,,97.0,4.0,1,6773,0,,,56.0,True,False,False
30,,65.0,1.0,0,2749,0,17.0,,,True,False,False
31,,10.0,1.0,0,6254,1,,,74.0,False,True,False
32,0.0,44.0,4.0,1,3258,1,,42.0,,True,False,False
33,0.0,6.0,5.0,0,6664,0,,,63.0,True,False,False
34,,88.0,5.0,1,4708,0,,,52.0,False,False,True
35,,6.0,4.0,0,7737,1,,,54.0,True,False,False
36,0.0,86.0,0.0,0,2104,1,,,55.0,False,False,True
37,1.0,40.0,4.0,0,1784,1,,46.0,,True,False,False
38,0.0,57.0,3.0,0,2744,0,,22.0,,False,True,False
39,0.0,82.0,5.0,0,4306,1,10.0,,,False,False,True
40,1.0,4.0,2.0,0,814,0,,18.0,,False,True,False
41,1.0,67.0,0.0,0,2285,0,,40.0,,False,False,True
42,1.0,52.0,3.0,1,3395,0,,50.0,,False,True,False
43,0.0,33.0,2.0,0,8192,1,,,60.0,True,False,False
44,0.0,48.0,2.0,0,4185,0,,,53.0,False,True,False
45,,85.0,4.0,1,7741,0,,,69.0,False,False,True
46,1.0,29.0,1.0,0,2884,0,,49.0,,False,True,False
47,0.0,34.0,0.0,0,2506,0,12.0,,,False,True,False
48,,21.0,4.0,0,3491,0,13.0,,,True,False,False
49,1.0,100.0,5.0,0,9165,1,,24.0,,False,False,True
50,0.0,96.0,4.0,0,1639,1,,,70.0,True,False,False
51,,100.0,0.0,1,9393,0,,37.0,,True,False,False
52,,90.0,5.0,1,4095,0,,,80.0,True,False,False
53,0.0,50.0,4.0,0,8911,1,,48.0,,True,False,False
54,0.0,45.0,2.484941745438558,1,3519,1,,,79.0,True,False,False
55,1.0,42.0,5.0,1,1994,1,,,60.0,False,False,True
56,1.0,29.0,5.0,0,1522,1,,,56.0,False,False,True
57,1.0,20.0,5.0,0,4966,0,,,72.0,True,False,False
58,,59.0,4.0,0,6122,0,,,76.0,True,False,False
59,,93.0,2.484941745438558,0,9170,1,13.0,,,False,False,True
60,1.0,3.0,4.0,1,4029,1,,29.0,,False,False,True
61,1.0,18.0,1.0,0,4629,0,,,60.0,False,True,False
62,,67.0,1.0,1,6829,0,,34.0,,False,False,True
63,1.0,96.0,3.0,1,1279,0,,,80.0,False,True,False
64,1.0,89.0,3.0,1,567,1,,,54.0,False,False,True
65,1.0,33.0,1.0,1,3628,1,,,66.0,True,False,False
66,0.0,31.0,0.0,0,9976,0,,,53.0,False,True,False
67,1.0,30.0,3.0,0,2632,0,,,75.0,False,True,False
68,0.0,35.0,5.0,1,1230,1,,,68.0,False,True,False
69,0.0,95.0,2.0,0,85,0,,29.0,,True,False,False
70,0.0,53.0,5.0,0,5084,1,,38.0,,False,True,False
71,,42.0,4.0,0,805,0,,,68.0,False,False,True
72,0.0,95.0,1.0,1,3003,1,,,78.0,False,True,False
73,0.0,90.0,2.484941745438558,1,2593,0,,23.0,,True,False,False
74,0.0,58.0,2.0,1,3953,0,,,67.0,False,False,True
75,0.0,33.0,4.0,1,6224,1,,40.0,,False,False,True
76,0.0,13.0,5.0,0,8053,0,,,76.0,False,False,True
77,0.0,74.0,0.0,1,5697,1,,,61.0,True,False,False
78,0.0,64.0,2.0,0,3468,1,,30.0,,False,False,True
79,0.0,65.0,4.0,0,6361,0,17.0,,,False,False,True
80,0.0,55.0,1.0,0,6532,1,,27.0,,False,False,True
81,,36.0,3.0,0,4512,1,,,52.0,False,True,False
82,1.0,20.0,5.0,0,8357,0,,,72.0,False,False,True
83,,56.0,2.0,0,4438,1,,,69.0,False,True,False
84,1.0,29.0,1.0,0,8335,0,,,70.0,False,False,True
85,1.0,78.0,4.0,0,8632,0,,43.0,,False,False,True
86,0.0,33.0,4.0,1,2025,1,,33.0,,False,False,True
87,0.0,39.0,5.0,0,3213,0,,27.0,,False,False,True
88,1.0,88.0,2.0,1,9372,0,,47.0,,False,True,False
89,0.0,26.0,4.0,1,9127,1,,41.0,,False,False,True
90,0.0,77.0,5.0,0,7205,1,,,80.0,True,False,False
91,0.0,15.0,5.0,1,123,1,,29.0,,True,False,False
92,1.0,3.0,0.0,0,6824,1,,,64.0,True,False,False
93,1.0,56.0,0.0,1,7045,1,,43.0,,True,False,False
94,1.0,48.0,2.0,0,6760,1,16.0,,,False,False,True
95,,33.0,3.0,1,5484,0,,,64.0,True,False,False
96,0.0,47.0,1.0,0,3086,0,14.0,,,False,False,True
97,0.0,71.0,4.0,1,4139,1,,27.0,,False,True,False
98,,18.0,5.0,0,9634,0,,,77.0,True,False,False
99,,56.0,2.0,1,3728,1,,,69.0,False,True,False
100,,40.0,0.0,0,4444,0,14.0,,,True,False,False
101,1.0,96.0,2.484941745438558,0,7933,1,,20.0,,True,False,False
102,0.0,79.0,4.0,1,5563,0,,,80.0,False,True,False
103,,64.0,5.0,0,9477,1,,18.0,,True,False,False
104,1.0,40.0,3.0,1,9401,0,,,74.0,False,True,False
105,,62.0,1.0,1,8624,0,,,73.0,True,False,False
106,0.0,48.0,1.0,0,1486,1,,20.0,,False,False,True
107,0.0,78.0,4.0,1,2855,1,,28.0,,True,False,False
108,0.0,67.0,1.0,0,2676,1,,31.0,,False,False,True
109,,9.0,0.0,1,2998,0,,23.0,,True,False,False
110,0.0,13.0,4.0,0,7858,1,,,67.0,False,True,False
111,,5.0,1.0,1,4010,0,,,77.0,False,True,False
112,0.0,89.0,1.0,0,5555,0,,41.0,,False,False,True
113,0.0,39.0,5.0,0,4056,0,,40.0,,False,False,True
114,,97.0,0.0,0,6454,0,,38.0,,True,False,False
115,1.0,73.0,1.0,0,2453,0,12.0,,,True,False,False
116,0.0,100.0,0.0,0,5624,1,,42.0,,False,False,True
117,0.0,14.0,3.0,1,2121,0,,,71.0,True,False,False
118,0.0,4.0,4.0,1,2473,1,,46.0,,False,True,False
119,,100.0,4.0,1,447,1,,47.0,,False,False,True
120,,11.0,1.0,0,1545,0,,,64.0,True,False,False
121,1.0,27.0,3.0,1,5953,0,,40.0,,False,False,True
122,1.0,0.0,2.0,0,639,1,,48.0,,True,False,False
123,1.0,96.0,4.0,0,9903,1,11.0,,,False,False,True
124,,6.0,5.0,0,9556,1,,46.0,,False,False,True
125,0.0,53.0,1.0,0,162,0,,,71.0,False,True,False
126,0.0,2.0,3.0,0,6112,1,,31.0,,True,False,False
127,1.0,35.0,4.0,1,3139,1,,28.0,,True,False,False
128,0.0,19.0,3.0,1,4709,0,,,76.0,False,False,True
129,,81.0,1.0,0,62,0,,43.0,,True,False,False
130,,8.0,2.0,1,6644,0,,,74.0,True,False,False
131,,65.0,3.0,1,2269,0,,39.0,,True,False,False
132,,100.0,4.0,1,1254,0,,,53.0,False,False,True
133,1.0,14.0,1.0,0,5079,1,16.0,,,False,False,True
134,1.0,72.0,3.0,0,5808,1,13.0,,,False,False,True
135,,97.0,2.484941745438558,0,2588,0,11.0,,,True,False,False
136,0.0,79.0,0.0,1,5989,0,,,63.0,True,False,False
137,1.0,58.0,0.0,0,8066,0,,,71.0,False,False,True
138,1.0,100.0,2.484941745438558,0,2154,0,,,72.0,True,False,False
139,1.0,26.0,4.0,1,9388,1,,49.0,,False,False,True
140,0.0,30.0,1.0,1,3260,1,,24.0,,False,False,True
141,0.0,88.0,3.0,0,9580,0,,,77.0,False,True,False
142,,85.0,3.0,1,5589,0,,,53.0,True,False,False
143,0.0,27.0,5.0,1,3944,1,,26.0,,False,False,True
144,,100.0,5.0,1,536,1,,,52.0,False,True,False
145,,61.0,4.0,1,5611,1,,29.0,,False,False,True
146,,36.0,2.0,1,296,1,,38.0,,False,False,True
147,0.0,65.0,4.0,1,1652,1,,44.0,,False,True,False
148,,78.0,4.0,1,5213,1,,,74.0,False,False,True
149,1.0,0.0,1.0,0,830,0,,46.0,,False,True,False
150,0.0,77.0,3.0,0,4520,1,11.0,,,False,False,True
151,,27.0,3.0,0,1001,1,,,77.0,True,False,False
152,,19.0,2.484941745438558,0,3717,1,,25.0,,True,False,False
153,,5.0,2.484941745438558,1,3847,0,,,77.0,False,True,False
154,0.0,48.0,3.0,1,4408,0,,,63.0,False,True,False
155,1.0,83.0,5.0,0,8163,1,13.0,,,False,True,False
156,,12.0,1.0,0,4286,1,15.0,,,False,False,True
157,,98.0,1.0,1,506,0,,,77.0,False,False,True
158,1.0,29.0,2.484941745438558,0,2608,0,,,63.0,True,False,False
159,0.0,87.0,2.0,1,745,1,,34.0,,True,False,False
160,1.0,100.0,3.0,0,5595,0,,,74.0,True,False,False
161,0.0,100.0,5.0,0,2294,1,,31.0,,True,False,False
162,,85.0,2.0,1,7637,0,,29.0,,False,True,False
163,1.0,42.0,2.0,0,2595,0,,28.0,,False,True,False
164,,99.0,5.0,0,5696,1,12.0,,,False,True,False
165,1.0,70.0,3.0,0,5902,1,,,58.0,False,False,True
166,0.0,7.0,2.0,0,4800,1,15.0,,,False,True,False
167,1.0,8.0,0.0,0,9859,1,,45.0,,False,False,True
168,1.0,96.0,2.0,0,7648,0,,28.0,,True,False,False
169,1.0,23.0,5.0,1,3011,1,,,72.0,False,False,True
170,1.0,16.0,2.0,1,6912,0,,28.0,,False,True,False
171,,10.0,1.0,1,259,0,,,73.0,False,False,True
172,0.0,44.0,4.0,0,937,0,,38.0,,True,False,False
173,,15.0,2.484941745438558,1,2395,0,,45.0,,False,True,False
174,1.0,93.0,1.0,0,9303,0,,45.0,,True,False,False
175,,71.0,5.0,0,7391,0,,31.0,,False,True,False
176,1.0,16.0,3.0,1,3750,1,,,63.0,False,True,False
177,,55.0,2.0,1,9651,1,,45.0,,False,True,False
178,0.0,9.0,5.0,1,2367,1,,27.0,,True,False,False
179,,99.0,5.0,1,3026,1,,25.0,,True,False,False
180,,65.0,0.0,0,422,1,,48.0,,True,False,False
181,0.0,9.0,0.0,0,7185,1,,,70.0,True,False,False
182,1.0,45.0,2.0,1,7959,1,,49.0,,False,False,True
183,1.0,30.0,5.0,0,2546,1,,43.0,,False,False,True
184,0.0,17.0,0.0,0,2193,0,,,80.0,False,False,True
185,1.0,9.0,3.0,1,7851,1,,,80.0,False,True,False
186,1.0,98.0,2.484941745438558,0,1411,1,,,53.0,False,False,True
187,0.0,77.0,4.0,0,907,0,,,70.0,True,False,False
188,1.0,27.0,2.0,0,8777,1,,47.0,,True,False,False
189,,61.0,0.0,1,7052,1,,25.0,,False,True,False
190,1.0,91.0,4.0,0,8738,0,,,65.0,True,False,False
191,1.0,24.0,0.0,1,6615,1,,,57.0,True,False,False
192,0.0,41.0,5.0,0,4945,1,17.0,,,True,False,False
193,0.0,91.0,1.0,0,9076,0,,,68.0,False,True,False
194,,77.0,3.0,0,2034,1,,,62.0,True,False,False
195,0.0,12.0,0.0,1,3502,0,,30.0,,False,True,False
196,1.0,82.0,4.0,1,5950,1,,,76.0,True,False,False
197,1.0,8.0,2.0,0,9518,1,,18.0,,False,False,True
198,0.0,94.0,5.0,1,5689,1,,,55.0,False,False,True
199,0.0,59.0,1.0,0,2048,0,,,76.0,False,True,False
200,,65.0,4.0,0,873,1,,,56.0,False,True,False
201,0.0,23.0,4.0,1,8392,1,,24.0,,False,False,True
202,1.0,70.0,2.484941745438558,0,4303,0,,18.0,,False,False,True
203,1.0,2.0,1.0,1,2561,0,,49.0,,True,False,False
204,1.0,100.0,2.484941745438558,1,3639,0,,31.0,,True,False,False
205,,56.0,2.0,0,3721,0,,,70.0,True,False,False
206,1.0,85.0,1.0,0,5586,0,,19.0,,False,True,False
207,0.0,43.0,2.0,1,7009,1,,,77.0,False,False,True
208,0.0,81.0,5.0,0,8532,0,,,62.0,False,False,True
209,0.0,86.0,3.0,0,9526,0,17.0,,,True,False,False
210,,82.0,0.0,0,817,0,15.0,,,True,False,False
211,1.0,50.0,4.0,0,8961,1,,,68.0,False,True,False
212,,25.0,4.0,1,8728,1,,44.0,,True,False,False
